Academic Year (Enrolment),Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Eircode,School Latitude,School Longitude,Email,Phone No.,Principal Name,Local Authority Description,DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Island (Y/N),Ethos Description,Female,Male,Total
2023,00752A,CENTRAL SENIOR MXD N S,Marlborough Street,Dublin 1,,,Dublin,D01P027,53,-6,info@centralmodelseniorschool.ie,018788103,Deirdre Gartland,Dublin City Council,Y,No subjects through Irish,N,N,Catholic,128,122,250
2023,00779U,PRESENTATION GIRLS PRIMARY SCHOOL,Main Street,Maynooth,Co. Kildare,,Kildare,W23X0C6,53,-7,info@presgirlsmaynooth.ie,016286034,Cora McGorry,Kildare County Council,N,No subjects through Irish,N,N,Catholic,596,4,600
2023,00788V,LISDOWNEY N S,Lisdowney,Ballyragget,Co. Kilkenny,,Kilkenny,R95XD45,53,-7,lisdowneyns@gmail.com,0568833495,Mairead Dowling,Kilkenny County Council,N,No subjects through Irish,N,N,Catholic,52,54,106
2023,00796U,SCOIL LACHTAIN,Freshford,Co. Kilkenny,,,Kilkenny,R95RP20,53,-7,stlachtainns@gmail.com,0568832400,Brendan Tynan,Kilkenny County Council,Y,No subjects through Irish,N,N,Catholic,90,112,202
2023,00851C,PRESENTATION CONVENT,Ballymakenny Road,Drogheda,Co. Louth,,Louth,A92E296,54,-6,presentationprimary@yahoo.com,0419837119,Nora Molloy,Louth County Council,Y,No subjects through Irish,N,N,Catholic,219,80,299
2023,00856M,SCOIL NAOMH MICHEAL,St. Mel's Road,Longford,,,Longford,N39AX75,54,-8,stmichaelsbns@gmail.com,0433345536,Nora Horan,Longford County Council,Y,No subjects through Irish,N,N,Catholic,,233,233
2023,00860D,FORGNEY N S,Cloncallow,Ballymahon,Co. Longford,,Longford,N39TW52,54,-8,forgneyschool@gmail.com,0906452659,Adrian Coughlan,Longford County Council,N,No subjects through Irish,N,N,Catholic,8,13,21
2023,00883P,AINE NAOFA N S,Fairgreen,Navan,Co. Meath,,Meath,C15E208,54,-7,office@stannesnavan.ie,0469023039,Cliodhna O'Bric,Meath County Council,Y,No subjects through Irish,N,N,Catholic,152,153,305
2023,00885T,RATOATH JUNIOR N S,Fairyhouse Road,Ratoath,Co. Meath,,Meath,A85P296,54,-6,office@ratoathjuniorns.ie,018256639,Miriam Fox,Meath County Council,N,No subjects through Irish,N,N,Catholic,139,115,254
2023,00892Q,SHANGANAMORE N S,Shanganamore,Athy,Co. Laois,,Laois,R14K659,53,-7,shanganamorens87@gmail.com,0598632315,Pauline Lawlor,Laois County Council,N,No subjects through Irish,N,N,Catholic,52,52,104
2023,00895W,BALLINAKILL MIXED N S,Ballinakill,Portlaoise,Co. Laois,,Laois,R32TX38,53,-7,ballinakillps@gmail.com,0578733393,Sinead Campion,Laois County Council,N,No subjects through Irish,N,N,Catholic,42,56,98
2023,00934G,PRESENTATION CONVENT (JNR),Harbour Street,Mullingar,Co. Westmeath,,Westmeath,N91YD83,54,-7,adminjnr@presentationmullingar.ie,0449342166,Natasha Miskell,Westmeath County Council,Y,No subjects through Irish,N,N,Catholic,121,149,270
2023,00941D,S N BHRIDE,Emper,Ballynacargy,Co. Westmeath,,Westmeath,N91PP71,54,-8,info@emperns.com,0449373388,Kathryn Keenan,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,11,15,26
2023,00973Q,GRANGE CON N S,Grange Con Primary School,Grange Con,Dunlavin,,Wicklow,W91TV06,53,-7,grangeconns1965@gmail.com,045403111,Ciara O'Hara,Wicklow County Council,N,No subjects through Irish,N,N,Catholic,9,9,18
2023,00977B,BALLYCONNELL N S,Ballyconnell,Tullow,Co. Carlow,,Carlow,R93VA44,53,-7,ballyconnellnationalschool@gmail.com,0599156226,Mary Dolan,Carlow County Council,N,No subjects through Irish,N,N,Catholic,102,93,195
2023,00984V,GLENEALY 1 N S,Glenealy,Co. Wicklow,,,Wicklow,A67CD78,53,-6,secretary@glenealy2ns.com,040444884,Denise O Brien,Wicklow County Council,Y,No subjects through Irish,N,N,Catholic,48,58,106
2023,01000E,ESKER N S,Esker,Athenry,Co. Galway,,Galway,H65HY10,53,-9,eskerschool@gmail.com,091848008,Paul Connell,Galway County Council,N,No subjects through Irish,N,N,Catholic,37,42,79
2023,01013N,SCOIL CROI IOSA,Newcastle Road,Galway,,,Galway,H91FV48,53,-9,scoilchroiiosa@gmail.com,091525904,Colin Barry,Galway City Council,Y,No subjects through Irish,N,N,Catholic,73,69,142
2023,01086R,S N POL NAOFA,Church Road,Castlerea,Co. Roscommon,,Roscommon,F45FK09,54,-8,boysnscastlerea.ias@gmail.com,0949620566,Olivia Walsh,Roscommon County Council,Y,No subjects through Irish,N,N,Catholic,,54,54
2023,01116A,BAILE AN CHUILINN N S,Ballinkillen,Muine Bheag,Co. Carlow,,Carlow,R21Y803,53,-7,bkns.ias@gmail.com,0599775153,Leila M Doorley,Carlow County Council,N,No subjects through Irish,N,N,Catholic,76,64,140
2023,01125B,LEITRIM MXD N S,Leitrim Village,Carrick-on-Shannon,Co. Leitrim,,Leitrim,N41EC81,54,-8,leitrimns@gmail.com,0719621205,Richella Kelly,Leitrim County Council,N,No subjects through Irish,N,N,Catholic,109,117,226
2023,01170G,S N na hAille,Westown,Naul,Co. Dublin,,Dublin,K32PX40,54,-6,naulns1834@gmail.com,018413821,edel mcmahon,Fingal County Council,N,No subjects through Irish,N,N,Catholic,72,90,162
2023,01215C,NEWTOWN DUNLECKNEY MXD,Newtown,Muinebheag,Co. Carlow,,Carlow,R21PP74,53,-7,newtowndunleckneyns@gmail.com,0599727299,Maurice Bric,Carlow County Council,N,No subjects through Irish,N,N,Catholic,79,74,153
2023,01272O,S N CHUAN DOIR,Drombeg,Glandore,Co. Cork,,Cork,P81VE04,52,-9,office@glandorens.ie,02833796,Catherine (R¡ona) Murray,Cork County Council,N,No subjects through Irish,N,N,Catholic,32,46,78
2023,01285A,TIPPERARY JNR BN S,St Michael's Street,Tipperary,,,Tipperary,E34HD52,52,-8,stmichaelsjbs@gmail.com,06251913,Siobhan Verdon,Tipperary (Sr) County Council,Y,No subjects through Irish,N,N,Catholic,,119,119
2023,01300Q,ST MICHAELS NATIONAL SCHOOL,Danesfort,Co. Kilkenny,,,Kilkenny,R95X527,53,-7,danesfortns@gmail.com,0567727588,Niamh McGrath,Kilkenny County Council,N,No subjects through Irish,N,N,Catholic,30,37,67
2023,01309L,STACKALLEN N S,Stackallen,Navan,Co. Meath,,Meath,C15Y104,54,-7,info@stackallenschool.com,0469024207,Rebekah Rafferty,Meath County Council,N,No subjects through Irish,N,N,Catholic,96,83,179
2023,01328P,KILTORMER N S,Kiltormer,Ballinasloe,Co. Galway,,Galway,H53AH28,53,-8,kiltormernsgalway@gmail.com,0909627109,Eimear Mahony,Galway County Council,N,No subjects through Irish,N,N,Catholic,41,31,72
2023,01356U,KILNALECK MIXED N S,Barrack Road,Kilnaleck,Co. Cavan,,Cavan,A82EY42,54,-7,kilnaleckns1@gmail.com,0494336728,Amanda O'Reilly,Cavan County Council,Y,No subjects through Irish,N,N,Catholic,64,51,115
2023,01395H,AGLISH N S,Aglish,Cappoquin,Co. Waterford,,Waterford,P51WA03,52,-8,aglishnationalschool@gmail.com,02496425,Jennifer Lynch,Waterford County Council,N,No subjects through Irish,N,N,Catholic,32,56,88
2023,01396J,TULLOHA NATIONAL SCHOOL,Bonane,Kenmare,Co. Kerry,,Kerry,V93DW99,52,-10,tullohans@gmail.com,0646641977,Pamela Dillane,Kerry County Council,N,No subjects through Irish,N,N,Catholic,8,15,23
2023,01415K,RATHOE NS,Rathoe,Co. Carlow,,,Carlow,R93XY18,53,-7,info@rathoens.com,0599148786,Erika Murphy,Carlow County Council,N,No subjects through Irish,N,N,Catholic,84,94,178
2023,01421F,KILSKYRE MIXED N S,Kilskyre,Kells,Co. Meath,,Meath,A82DH22,54,-7,kilskyrens@gmail.com,0469243947,Ailish McKeown,Meath County Council,N,No subjects through Irish,N,N,Catholic,33,53,86
2023,01434O,S N COLUMCILLE,Tullydonnell,Togher,Drogheda,Co. Louth,Louth,A92TW50,54,-6,st.colmcilles1@gmail.com,0416852301,Anne Marie Ford,Louth County Council,N,No subjects through Irish,N,N,Catholic,77,89,166
2023,01553W,ST. MOCHTA'S NATIONAL SCHOOL,Louth Village,Co. Louth,,,Louth,A91AE79,54,-7,louthschool@gmail.com,0429374840,Patrick Martin,Louth County Council,N,No subjects through Irish,N,N,Catholic,63,81,144
2023,01554B,Ballapousta NS,Ballapousta,Ardee,Co. Louth,,Louth,A92XD53,54,-7,principal@ballapoustans.ie,0416853966,Peter Dooley,Louth County Council,N,No subjects through Irish,N,N,Catholic,84,90,174
2023,01569O,BALLYCAHILL N S,Ballycahill,Thurles,Co. Tipperary,,Tipperary,E41RR68,53,-8,ballycahillns@gmail.com,050422492,Mary Madden,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Catholic,26,25,51
2023,01572D,S N NAOMH PADRAIG,Carrowhill,Drumfries,Co. Donegal,,Donegal,F93YY19,55,-7,admin@drumfriesschool.com,0749363396,Sorcha Harkin,Donegal County Council,Y,No subjects through Irish,N,N,Catholic,27,39,66
2023,01574H,SCOIL NAOMH IàSAF,Connaghkinnego,Ballymagan,Buncrana,Co. Donegal,Donegal,F93HX30,55,-7,stjoesias@gmail.com,0749362212,Andrea Long,Donegal County Council,Y,No subjects through Irish,N,N,Catholic,34,22,56
2023,01583I,GLOUNAGUILLAGH N S,Glannagilliagh,Caragh Lake,Killorglin,Co. Kerry,Kerry,V93HX07,52,-10,glounaguillaghns@gmail.com,0669769402,Sinead Pigott,Kerry County Council,N,No subjects through Irish,N,N,Catholic,74,68,142
2023,01594N,ST JOHNS,Golden Grove Road,Roscrea,Co. Tipperary,,Tipperary,E53N562,53,-8,scoileoinnaofa@gmail.com,050523903,Mark McLoughlin,Tipperary (Nr) County Council,Y,No subjects through Irish,N,N,Catholic,81,80,161
2023,01607T,S N Cor na Fola B,Cornafulla,Athlone,Co. Roscommon,,Roscommon,N37FW74,53,-8,principal@cornafullans.ie,0906437177,Ronan Farrell,Roscommon County Council,N,No subjects through Irish,N,N,Catholic,105,125,230
2023,01676P,BALLINDINE B N S,Ballindine,Claremorris,Co. Mayo,,Mayo,F12CY64,54,-9,ballindineinfo@gmail.com,0949364204,Stephen McHugh,Mayo County Council,N,No subjects through Irish,N,N,Catholic,61,68,129
2023,01687U,DROMLEIGH N S,Dromleigh,Kilmichael,Macroom,Co. Cork,Cork,P12DY26,52,-9,dromleighns@gmail.com,02646212,Julie Murray,Cork County Council,N,No subjects through Irish,N,N,Catholic,21,20,41
2023,01692N,FIRMOUNT MIXED N S,Firmount,Donoughmore,Co. Cork,,Cork,P32TX21,52,-9,info@firmountns.ie,0217337344,Liam Buckley,Cork County Council,N,No subjects through Irish,N,N,Catholic,71,81,152
2023,01711O,S N CILL ROSANTA,Kilrossanty,Kilmacthomas,Co. Waterford,,Waterford,X42XW57,52,-8,office@kilrossantyns.ie,051291419,Catherine Dunwoody,Waterford County Council,Y,No subjects through Irish,N,N,Catholic,44,58,102
2023,01731U,BALLYNACARGY MIXED N S,Ballynacargy,Co. Westmeath,,,Westmeath,N91TW13,54,-8,principal.ballynacargyns@gmail.com,0449373300,Lorraine Rowan,Westmeath County Council,Y,No subjects through Irish,N,N,Catholic,28,27,55
2023,01733B,ARDARA MIXED N S,Back Road,Ardara,Co. Donegal,,Donegal,F94P279,55,-8,woodns2001@gmail.com,0749541539,Claudia McGinley,Donegal County Council,Y,No subjects through Irish,N,N,Church Of Ireland,13,7,20
2023,01782O,S N NAOMH PADRAIG,Barnacleagh,Arklow,Co. Wicklow,,Wicklow,Y14NW50,53,-6,bcjohnstown@gmail.com,040239602,Catherine McGarry,Wicklow County Council,N,No subjects through Irish,N,N,Catholic,38,51,89
2023,01795A,CENTRAL INFS SCHOOL,Marlborough Street,Dublin 1,,,Dublin,D01ER24,53,-6,info@centralmodelinfantschool.ie,018788344,Catherine Groves,Dublin City Council,Y,No subjects through Irish,N,N,Catholic,79,81,160
2023,01821V,S N RATH MOR,Rathmore,Naas,,,Kildare,W91VK46,53,-7,office@rathmorens.ie,045862145,Lucy Travers,Kildare County Council,N,No subjects through Irish,N,N,Catholic,135,175,310
2023,01840C,ST CANICE S CONVENT,Rosbercon,New Ross,Co. Wexford,,Wexford,Y34VH61,52,-7,stcanicesns@gmail.com,051422813,Rachel O'Donnell,Wexford County Council,Y,No subjects through Irish,N,N,Catholic,84,95,179
2023,01862M,TIPPERARY G N S,St Michael's Street,Tipperary,,,Tipperary,E34Y098,52,-8,stmichaelsgnsinfo@gmail.com,06233527,Ide Mooney,Tipperary (Sr) County Council,Y,No subjects through Irish,N,N,Catholic,138,,138
2023,01866U,BALLYFORAN MIXED N S,Ballyforan,Ballinasloe,Co. Roscommon,,Roscommon,H53WN36,53,-8,ballyforanns@gmail.com,0906622300,Thomas Murray Principal,Roscommon County Council,Y,No subjects through Irish,N,N,Catholic,29,29,58
2023,01867W,CASTLELYONS B N S,Castlelyons,Co. Cork,,,Cork,P61PH66,52,-8,office@castlelyonsns.com,02536220,Chonchubhair de R¢iste,Cork County Council,N,No subjects through Irish,N,N,Catholic,85,89,174
2023,02007A,CROAGH NATIONAL SCHOOL,Croagh,Rathkeale,Co. Limerick,,Limerick,V94R7R2,53,-9,croaghns23@gmail.com,06964750,Henry O'Gorman,Limerick County Council,N,No subjects through Irish,N,N,Catholic,33,31,64
2023,02013S,BALLINTOGHER N S,Kingsfort,Ballintogher,Co. Sligo,,Sligo,F91DR72,54,-8,sntreasa@gmail.com,0719164939,Ruth Sweeney Acting Principal,Sligo County Council,N,No subjects through Irish,N,N,Catholic,28,43,71
2023,02114B,S N BAILE UI GHIBLIN,Ballygiblin,Mitchelstown,Co. Cork,,Cork,P67PK30,52,-8,ballygiblinns19@gmail.com,02524933,Mary Collins,Cork County Council,N,No subjects through Irish,N,N,Catholic,56,55,111
2023,02124E,SCOIL NAIS MOLAISE,Parknakyle,Old Leighlin,Co. Carlow,,Carlow,R93NX05,53,-7,oldleighlinns@gmail.com,0599722166,Mandy Ryan,Carlow County Council,N,No subjects through Irish,N,N,Catholic,59,60,119
2023,02237R,DUALLA N S,Dualla,Cashel,Co. Tipperary,,Tipperary,E25E288,53,-8,duallans@gmail.com,06262241,John Manley,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,51,41,92
2023,02263S,CROWENSTOWN N S,Crowenstown,Delvin,Co. Westmeath,,Westmeath,N91X7DV,54,-7,office@crowenstownns.ie,0449664585,Carmel Thorpe,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,4,13,17
2023,02278I,MILLSTREET CONVENT N S,West End,Millstreet,Co. Cork,,Cork,P51V599,52,-9,millpns@gmail.com,02970957,Siobh n U¡ Bhuachalla,Cork County Council,N,No subjects through Irish,N,N,Catholic,186,77,263
2023,02322I,ST OLIVERS NS,Dundalk Street,Carlingford,Co. Louth,,Louth,A91NW92,54,-6,info@stoliversns.ie,0429373405,Sin‚ad McKeown,Louth County Council,N,No subjects through Irish,N,N,Catholic,66,74,140
2023,02358G,TEMPLEGLANTINE N S,Templeglantine East,Co. Limerick,,,Limerick,V94KC56,52,-9,office@templeglantinens.ie,06984300,Ann Marie Leonard,Limerick County Council,N,No subjects through Irish,N,N,Catholic,29,26,55
2023,02413L,S N NAOMH EOIN,Rath,Fivealley,Birr,Co. Offaly,Offaly,R42HN30,53,-8,scoilnaisiuntanaomheoin@gmail.com,0579133011,Susan McDonnell,Offaly County Council,N,No subjects through Irish,N,N,Catholic,75,78,153
2023,02418V,Knockaderry Farranfore National School,Farranfore,Killarney,Co. Kerry,,Kerry,V93NF44,52,-10,info@knockaderryfarranforens.ie,0669764729,µine Daly,Kerry County Council,N,No subjects through Irish,N,N,Catholic,23,25,48
2023,02428B,LACKAMORE N S,Lackamore,Newport,Co. Tipperary,,Tipperary,V94V5D1,53,-8,lackamorens@gmail.com,061378360,Karen O'Brien,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Catholic,24,19,43
2023,02439G,S N MHUIRE,Bauroe,Feakle,Co. Clare,,Clare,V94R8Y1,53,-9,feaklens@gmail.com,061924116,Marion Mahon,Clare County Council,N,No subjects through Irish,N,N,Catholic,27,36,63
2023,02452V,CLOYNE NATIONAL SCHOOL,Cloyne,Co. Cork,,,Cork,P25K220,52,-8,principal@cloynens.com,0214652567,Mary O'Brien,Cork County Council,N,No subjects through Irish,N,N,Catholic,156,138,294
2023,02670I,SAN ISADOIR,Nodstown South,Boherlahan,Cashel,Co. Tipperary,Tipperary,E25KX75,53,-8,boherlahanns@gmail.com,050441184,Catherine Cleary,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,69,45,114
2023,02745N,TALLONSTOWN N S,Tallanstown,Dundalk,Co. Louth,,Louth,A91YX04,54,-7,tallanstownns@gmail.com,0429374419,Cl¡odhna Hyland,Louth County Council,N,No subjects through Irish,N,N,Catholic,131,159,290
2023,02793B,S N MULLACH BUI,Castletowncooley,Riverstown,Co. Louth,,Louth,A91H319,54,-6,eganmairead@gmail.com,0429376202,Mairead Egan,Louth County Council,N,No subjects through Irish,N,N,Catholic,27,40,67
2023,02803B,BANTEER N S,Banteer,Co. Cork,,,Cork,P51TK64,52,-9,office@banteerns.ie,02956262,Jane Daly,Cork County Council,N,No subjects through Irish,N,N,Catholic,86,108,194
2023,02813E,S N SHEANAIN,Corgrigg,Foynes,Co. Limerick,,Limerick,V94NX50,53,-9,stsenans@yahoo.ie,06965117,Thomas Lyng,Limerick County Council,N,No subjects through Irish,N,N,Catholic,35,53,88
2023,02872U,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,,Dublin,D18XV90,53,-6,office@stmarysnssandyford.ie,012954173,Fergus Lyons,Dun Laoghaire Rathdown,N,No subjects through Irish,N,N,Catholic,120,122,242
2023,02889O,S N AN CHLAIS MHOR,Clashmore,Co. Waterford,,,Waterford,P36ET78,52,-8,clashmorens19@gmail.com,02496404,Yvonne U¡ Fhlaithimh¡n,Waterford County Council,Y,No subjects through Irish,N,N,Catholic,37,46,83
2023,02905J,S N NAOMH PADRAIG,Baconstown,Enfield,Co. Meath,,Meath,A83F863,53,-7,baconstownns@gmail.com,0469541115,Cathal Fenton,Meath County Council,N,No subjects through Irish,N,N,Catholic,83,68,151
2023,02912G,Scoil na gCoillini,Meelick,Swinford,Co. Mayo,,Mayo,F12TW53,54,-9,meelickns1@gmail.com,0949384214,Deborah Convey,Mayo County Council,N,No subjects through Irish,N,N,Catholic,43,51,94
2023,03132I,S N SLIABH A MHADRA,Ballyduff,Tralee,Co. Kerry,,Kerry,V92WF40,52,-10,slmhadrans@gmail.com,0667131742,Cathal White,Kerry County Council,N,No subjects through Irish,N,N,Catholic,60,51,111
2023,03220F,MERCY PRIMARY SCHOOL,Chapel Lane,Birr,Co. Offaly,,Offaly,R42TX89,53,-8,principalmercyps@gmail.com,0579120259,Barbara Hanamy,Offaly County Council,Y,No subjects through Irish,N,N,Catholic,118,,118
2023,03275H,NEWTOWN N S,Newtown,Ardee,Co. Meath,,Meath,A92PW80,54,-7,newtownnsardee92@gmail.com,0469053322,Declan Crosby,Meath County Council,N,No subjects through Irish,N,N,Catholic,28,47,75
2023,03294L,S N Caiseal na gCorr,Gort a Choirce,Leitir Ceanainn,Co. Dh£n na nGall,,Donegal,F92YY24,55,-8,scoilchaisealnagcorr@gmail.com,0749165129,R¢is¡n N¡ Chuire in,Donegal County Council,Y,All subjects through Irish,Y,N,Catholic,26,26,52
2023,03359N,BALLYROAN B N S,Ballyroan Road,Rathfarnham,Dublin 16,,Dublin,D16YX54,53,-6,secretary@ballyroanbns.ie,014931805,Desmond Morris,South Dublin County Council,N,No subjects through Irish,N,N,Catholic,,401,401
2023,03607G,S N AINDREIS NAOFA,Leitrim,Kylebrack East,Loughrea,Co. Galway,Galway,H62KN83,53,-8,leitrimschool@gmail.com,091847470,Madonna Byrnes,Galway County Council,N,No subjects through Irish,N,N,Catholic,49,39,88
2023,03633H,SCOIL NµISIéNTA BHANTIARNA LOURDES,Hospital Hill,Bunclody,Enniscorthy,Co. Wexford,Wexford,Y21R820,53,-7,secretarybunclodyns@gmail.com,0539377380,Tom s Moriarty,Wexford County Council,Y,No subjects through Irish,N,N,Catholic,120,148,268
2023,03704E,S N SEAN BAILE MOR,Main Street,Shanballymore,Co. Cork,,Cork,P51VW63,52,-8,shanballymorens@gmail.com,02225611,John Walsh,Cork County Council,N,No subjects through Irish,N,N,Catholic,30,35,65
2023,03787L,WALSHESTOWN N S,Walshestown,Clogherhead,Co. Louth,,Louth,A92CD53,54,-6,office@walshestownschool.com,0416852285,Anne Marie Swinburne,Louth County Council,N,No subjects through Irish,N,N,Catholic,54,50,104
2023,03898U,TOONAGH N S,Fountain,Ennis,Co. Clare,,Clare,V95DF88,53,-9,toonaghschool@gmail.com,0656820143,Gear¢id Roughan.,Clare County Council,N,No subjects through Irish,N,N,Catholic,51,35,86
2023,03917V,NAOMH PADRAIG BOYS,Cambridge Road,Ringsend,Dublin 4,,Dublin,D04AP98,53,-6,ringsendbns@gmail.com,016606825,Ian Lane,Dublin City Council,Y,No subjects through Irish,N,N,Catholic,,128,128
2023,03924S,OWENBEG N S,Owenbeg,Culleens,Co. Sligo,,Sligo,F26VK13,54,-9,owenbegns@gmail.com,09649253,Fionnuala Ruane,Sligo County Council,Y,No subjects through Irish,N,N,Catholic,20,16,36
2023,03928D,MULLACH N S,Mullagh,Ennis,Co. Clare,,Clare,V95HN22,53,-9,principal@mullaghschool.ie,0657087472,Genevieve Pender,Clare County Council,Y,No subjects through Irish,N,N,Catholic,18,38,56
2023,03936C,S N AN CHUIL,Coole,Mullingar,Co. Westmeath,,Westmeath,N91E3FN,54,-7,coolescoilmhuire@gmail.com,0449661669,Orla Oxley,Westmeath County Council,N,No subjects through Irish,N,N,Catholic,14,17,31
2023,04005G,S N NAOMH PEADAR,Pouldine,Thurles,Co. Tipperary,,Tipperary,E41FY66,53,-8,office@moycarkeyns.ie,050444439,Ann Marie Carroll,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Catholic,79,68,147
2023,04054T,BALLINDANGAN MIXED N S,Ballindangan,Mitchelstown,Co. Cork,,Cork,P67EW90,52,-8,ballindanganschool@gmail.com,02584654,Helena O Connor,Cork County Council,N,No subjects through Irish,N,N,Catholic,20,15,35
2023,04062S,LISTOWEL PRESENTATION PRIMARY,Ballybunion Road,Listowel,Co. Kerry,,Kerry,V31CX52,52,-9,office@ppslistowel.ie,06822294,Joan Mulvihill,Kerry County Council,Y,No subjects through Irish,N,N,Catholic,182,,182
2023,04067F,CONVENT OF MERCY,Church Road,Newport,Co. Tipperary,,Tipperary,V94X7F9,53,-8,newportconvent.ias@eircom.net,061378622,Miriam Foley,Tipperary (Nr) County Council,N,No subjects through Irish,N,N,Catholic,205,75,280
2023,04075E,MOYGLASS N S,Moyglass,Fethard,Co. Tipperary,,Tipperary,E91VY15,53,-8,adminmoyglassns@gmail.com,0526131885,Stephen Earley,Tipperary (Sr) County Council,N,No subjects through Irish,N,N,Catholic,62,61,123
2023,04077I,SCOIL NAIS BHRIDE,Grange,Tullow,Co. Carlow,,Carlow,R93FX22,53,-7,msmulhall@stbrigidsgrange.ie,0599163881,Leah Mulhall,Carlow County Council,N,No subjects through Irish,N,N,Catholic,90,110,200
2023,04118T,LEAMLARA MIXED N S,Leamlara,Co. Cork,,,Cork,T56NH57,52,-8,office@bishopahernns.ie,0214642430,Billy O Connor,Cork County Council,N,No subjects through Irish,N,N,Catholic,79,71,150
2023,04152T,S N CNOC AN BHILE,Knockavilla,Innishannon,Co. Cork,,Cork,T12F981,52,-9,knockavillaschool@gmail.com,0214775662,"Mr. R¢n n Collins, Principal",Cork County Council,N,No subjects through Irish,N,N,Catholic,65,72,137
2023,04186N,S N BHIORAINN,Berrings,Co. Cork,,,Cork,P12FX45,52,-9,oifig@berringsns.ie,0217332101,Joan Marie Healy,Cork County Council,N,No subjects through Irish,N,N,Catholic,81,113,194
2023,04210H,KILMESSAN MXD N S,Kilmessan,Co. Meath,,,Meath,C15TE28,54,-7,info@kilmessanns.ie,0469025532,Michelle McKeown,Meath County Council,N,No subjects through Irish,N,N,Catholic,122,97,219
2023,04230N,SCOIL NAOMH EOIN,Ballincurrig,Cork,,,Cork,T56KR89,52,-8,principal@ballincurrigns.ie,0214642222,Colm Barry,Cork County Council,N,No subjects through Irish,N,N,Catholic,34,33,67
2023,04442F,KYLE N S,Kyle,Youghal,Co. Cork,,Cork,P36WR52,52,-8,kylenationalschool@gmail.com,02495198,Joanna Kelly,Cork County Council,N,No subjects through Irish,N,N,Catholic,20,17,37
